nTors time
4 347 ns
8 1344 ns
16 6589 ns
32 43022 ns
64 355132 ns
128 1880961 ns
256 12803744 ns
512 85837540 ns
2 284 ns
4 348 ns
8 1300 ns
16 6535 ns
32 43056 ns
64 270984 ns
128 1920624 ns
256 12486827 ns
512 85614301 ns
2 252 ns
4 552 ns
8 1179 ns
16 5679 ns
32 37290 ns
64 250685 ns
128 1822024 ns
256 12272221 ns
512 85854464 ns
2 313 ns
4 484 ns
8 1371 ns
16 6567 ns
32 52319 ns
64 268148 ns
128 1962682 ns
256 12288503 ns
512 85558247 ns
2 451 ns
4 431 ns
8 1377 ns
16 15087 ns
32 42359 ns
64 354282 ns
128 1955553 ns
256 12292653 ns
512 85134751 ns
2 258 ns
4 526 ns
8 1185 ns
16 5966 ns
32 34865 ns
64 252816 ns
128 1833531 ns
256 12997315 ns
512 80927006 ns
2 290 ns
4 494 ns
8 1229 ns
16 5797 ns
32 34982 ns
64 251484 ns
128 1816316 ns
256 12308955 ns
512 85548255 ns
2 219 ns
4 626 ns
8 1537 ns
16 5382 ns
32 31814 ns
64 230130 ns
128 1741201 ns
256 11885915 ns
512 84056095 ns
2 188 ns
4 352 ns
8 1328 ns
16 7075 ns
32 45070 ns
64 269880 ns
128 1869691 ns
256 12518527 ns
512 85622511 ns
2 219 ns
4 547 ns
8 1280 ns
16 5751 ns
32 34921 ns
64 255953 ns
128 1809957 ns
256 12742275 ns
512 85010538 ns
2 222 ns
4 529 ns
8 1188 ns
16 5603 ns
32 37260 ns
64 251458 ns
128 1832010 ns
256 12282278 ns
512 74168774 ns
2 158 ns
4 316 ns
8 1188 ns
16 6095 ns
32 39768 ns
64 251910 ns
128 1657850 ns
256 11746515 ns
512 76427156 ns
2 243 ns
4 335 ns
8 1183 ns
16 6172 ns
32 39218 ns
64 258268 ns
128 1792082 ns
256 10342053 ns
512 73017561 ns
2 206 ns
4 441 ns
8 959 ns
16 4617 ns
32 28179 ns
64 221193 ns
128 1464086 ns
256 9317726 ns
512 62990691 ns
2 161 ns
4 350 ns
8 804 ns
16 3730 ns
32 30884 ns
64 175085 ns
128 1201478 ns
256 8175084 ns
512 56516343 ns
2 459 ns
4 280 ns
8 898 ns
16 4730 ns
32 29832 ns
64 248130 ns
128 1736466 ns
256 7369382 ns
512 51572452 ns
2 268 ns
4 335 ns
8 1046 ns
16 5518 ns
32 35212 ns
64 273796 ns
128 1117949 ns
256 7502249 ns
512 51719792 ns
2 162 ns
4 353 ns
8 797 ns
16 3999 ns
32 23013 ns
64 161780 ns
128 1228057 ns
256 7411248 ns
512 51427486 ns
2 143 ns
4 314 ns
8 710 ns
16 3406 ns
32 20990 ns
64 144658 ns
128 1139087 ns
256 7610157 ns
512 52625226 ns
2 219 ns
4 300 ns
8 988 ns
16 5238 ns
32 35207 ns
64 254953 ns
128 1071295 ns
256 7643591 ns
512 51386836 ns
2 205 ns
4 264 ns
8 878 ns
16 4469 ns
32 29066 ns
64 297982 ns
128 1185575 ns
256 8055660 ns
512 52183543 ns
2 225 ns
4 265 ns
8 856 ns
16 4466 ns
32 29065 ns
64 246440 ns
128 1031069 ns
256 6672896 ns
512 52231259 ns
2 168 ns
4 365 ns
8 887 ns
16 4156 ns
32 19686 ns
64 134254 ns
128 1109120 ns
256 7260662 ns
512 50475872 ns
2 129 ns
4 243 ns
8 927 ns
16 4439 ns
32 28567 ns
64 231001 ns
128 1015085 ns
256 7346894 ns
512 50657411 ns
2 185 ns
4 240 ns
8 879 ns
16 4889 ns
32 29012 ns
64 234974 ns
128 1134469 ns
256 7212007 ns
512 55204505 ns
2 175 ns
4 243 ns
8 852 ns
16 4364 ns
32 28583 ns
64 135140 ns
128 994950 ns
256 7217025 ns
512 50351676 ns
2 193 ns
4 240 ns
8 864 ns
16 3290 ns
32 18187 ns
64 129235 ns
128 1072364 ns
256 7287697 ns
512 51409939 ns
2 121 ns
4 244 ns
8 659 ns
16 3259 ns
32 17896 ns
64 129604 ns
128 1112816 ns
256 7988558 ns
512 50838684 ns
2 142 ns
4 281 ns
8 648 ns
16 2945 ns
32 18445 ns
64 133849 ns
128 1050493 ns
256 7317540 ns
512 51441423 ns
2 178 ns
4 253 ns
8 867 ns
16 4652 ns
32 29031 ns
64 231851 ns
128 1067162 ns
256 7258944 ns
512 50924761 ns
2 218 ns
4 262 ns
8 909 ns
16 4573 ns
32 29945 ns
64 243716 ns
128 1127084 ns
256 7285312 ns
512 50809396 ns
2 123 ns
4 285 ns
8 682 ns
16 3185 ns
32 20102 ns
64 136442 ns
128 1129119 ns
256 7207207 ns
512 51255083 ns
2 211 ns
4 259 ns
8 902 ns
16 4837 ns
32 30260 ns
64 233522 ns
128 1158290 ns
256 7565101 ns
512 49797045 ns
2 154 ns
4 325 ns
8 681 ns
16 3569 ns
32 21501 ns
64 147848 ns
128 1069554 ns
256 7310625 ns
512 50443811 ns
2 128 ns
4 281 ns
8 612 ns
16 3010 ns
32 18148 ns
64 130153 ns
128 1135555 ns
256 7248568 ns
512 51411219 ns
2 184 ns
4 233 ns
8 886 ns
16 4429 ns
32 29006 ns
64 239488 ns
128 1129657 ns
256 7160586 ns
512 50288935 ns
2 215 ns
4 256 ns
8 935 ns
16 5007 ns
32 32590 ns
64 142270 ns
128 1069068 ns
256 7387310 ns
512 50507258 ns
2 183 ns
4 340 ns
8 1263 ns
16 6263 ns
32 31144 ns
64 243375 ns
128 1002733 ns
256 7530238 ns
512 50814810 ns
2 126 ns
4 225 ns
8 564 ns
16 3172 ns
32 18156 ns
64 124799 ns
128 1073517 ns
256 7318977 ns
512 49947540 ns
2 194 ns
4 305 ns
8 908 ns
16 4559 ns
32 29368 ns
64 160671 ns
128 1004599 ns
256 7146155 ns
512 51708392 ns
2 160 ns
4 341 ns
8 752 ns
16 3763 ns
32 18802 ns
64 131232 ns
128 1098635 ns
256 7444988 ns
512 50589639 ns
2 270 ns
4 303 ns
8 1090 ns
16 5657 ns
32 36108 ns
64 232535 ns
128 956083 ns
256 7288342 ns
512 50913566 ns
2 128 ns
4 299 ns
8 638 ns
16 2966 ns
32 18651 ns
64 137435 ns
128 1111345 ns
256 7377704 ns
512 50346056 ns
2 172 ns
4 244 ns
8 860 ns
16 4396 ns
32 28664 ns
64 234615 ns
128 1069509 ns
256 7297825 ns
512 50673125 ns
2 187 ns
4 227 ns
8 886 ns
16 4529 ns
32 28991 ns
64 232520 ns
128 1029528 ns
256 7178306 ns
512 50962170 ns
2 198 ns
4 229 ns
8 864 ns
16 4429 ns
32 36209 ns
64 270850 ns
128 1136060 ns
256 7659209 ns
512 55559152 ns
2 254 ns
4 283 ns
8 936 ns
16 4740 ns
32 30265 ns
64 185022 ns
128 1196856 ns
256 8497660 ns
512 56181101 ns
2 163 ns
4 349 ns
8 889 ns
16 3964 ns
32 24749 ns
64 163193 ns
128 1252319 ns
256 8776899 ns
512 62594644 ns
2 142 ns
4 341 ns
8 888 ns
16 4126 ns
32 25895 ns
64 167309 ns
128 1314668 ns
256 8696934 ns
512 53782856 ns
2 163 ns
4 313 ns
8 757 ns
16 3505 ns
32 28299 ns
64 155958 ns
128 1093979 ns
256 7650119 ns
512 49772734 ns
2 150 ns
4 269 ns
8 648 ns
16 3169 ns
32 20116 ns
64 135222 ns
128 1004432 ns
256 7178464 ns
512 50151186 ns
2 115 ns
4 244 ns
8 678 ns
16 3312 ns
32 18921 ns
64 147662 ns
128 1001221 ns
256 7178846 ns
512 50367110 ns
2 211 ns
4 274 ns
8 931 ns
16 4786 ns
32 30204 ns
64 235760 ns
128 1074784 ns
256 7104325 ns
512 50025483 ns
2 140 ns
4 258 ns
8 960 ns
16 4834 ns
32 30810 ns
64 233546 ns
128 994137 ns
256 7224094 ns
512 50053190 ns
2 194 ns
4 275 ns
8 884 ns
16 4467 ns
32 29526 ns
64 234611 ns
128 1015233 ns
256 7286254 ns
512 50013288 ns
2 114 ns
4 243 ns
8 586 ns
16 2898 ns
32 17790 ns
64 133538 ns
128 993829 ns
256 7378695 ns
512 50190984 ns
2 174 ns
4 260 ns
8 888 ns
16 4432 ns
32 28571 ns
64 230889 ns
128 1075281 ns
256 7359183 ns
512 51458640 ns
