nTors time
4 5119
8 6144
16 14336
32 40959
64 145408
128 561568
256 2817663
512 12264320
1024 51177982
2 4095
4 4095
8 6144
16 13311
32 40160
64 145408
128 562431
256 2813791
512 12309215
1024 54994880
2 4095
4 6144
8 8255
16 19455
32 60416
64 218112
128 840448
256 4055840
512 16283296
1024 76885437
2 4095
4 5119
8 6144
16 15359
32 45056
64 160768
128 619808
256 3171423
512 16057855
1024 51938175
2 3072
4 5119
8 6144
16 14336
32 40959
64 144383
128 560768
256 2923199
512 12840479
1024 55778816
2 3231
4 8000
8 8191
16 14336
32 40959
64 145536
128 561248
256 2815167
512 11892383
1024 46956703
2 3072
4 4095
8 7168
16 14336
32 40959
64 145408
128 561663
256 4594816
512 11996671
1024 54906558
2 3072
4 5119
8 6144
16 14336
32 40160
64 145408
128 561215
256 2917407
512 11977120
1024 46956832
2 3072
4 4095
8 6144
16 14336
32 39935
64 145408
128 559167
256 2817919
512 11763327
1024 46928062
2 3072
4 4095
8 6144
16 13311
32 40959
64 145408
128 561407
256 2917887
512 11972736
1024 52197792
2 3072
4 3871
8 6144
16 14336
32 40959
64 145408
128 559135
256 2919935
512 11792415
1024 46603233
2 2047
4 5119
8 7168
16 13311
32 40959
64 145408
128 1113280
256 3383807
512 12387424
1024 55342208
2 3072
4 4736
8 6144
16 14336
32 40959
64 144383
128 559231
256 2921567
512 11789792
1024 46614753
2 4095
4 4095
8 7168
16 13311
32 40288
64 145408
128 562304
256 2915391
512 12285311
1024 47904895
2 4095
4 6144
8 8191
16 17408
32 55296
64 200703
128 771903
256 3834719
512 15441856
1024 68771644
2 3072
4 4095
8 6144
16 13600
32 40959
64 145408
128 561631
256 2919104
512 12115551
1024 52383457
2 3072
4 4095
8 6144
16 13311
32 40959
64 145408
128 561536
256 3112096
512 11798208
1024 46954975
2 3072
4 4095
8 6144
16 13311
32 39935
64 144383
128 561151
256 2920095
512 11805567
1024 53747840
2 4095
4 6144
8 8191
16 19455
32 58368
64 208895
128 805952
256 3927808
512 16810655
1024 63045120
2 3072
4 4095
8 6175
16 14336
32 46080
64 162816
128 630464
256 3214175
512 14850399
1024 51554622
2 3072
4 4095
8 6144
16 13311
32 41120
64 145408
128 562720
256 2920320
512 11814687
1024 46947200
2 3072
4 4095
8 6144
16 13311
32 40959
64 145408
128 563935
256 3477727
512 12191712
1024 49878688
2 3072
4 5119
8 6144
16 14336
32 40959
64 144383
128 561344
256 2919296
512 11972448
1024 46962272
2 3072
4 4095
8 6144
16 13311
32 40959
64 146431
128 562655
256 2996864
512 12406144
1024 51315967
2 4095
4 5119
8 8191
16 20479
32 60416
64 218112
128 840704
256 4067455
512 16290399
1024 75663261
2 4095
4 5119
8 7168
16 16383
32 52223
64 185343
128 715008
256 3552544
512 14259327
1024 68525215
2 3072
4 4224
8 7168
16 15359
32 47104
64 164864
128 636448
256 3235424
512 13001952
1024 51434143
2 3199
4 5119
8 7168
16 15359
32 46080
64 164864
128 637632
256 3241919
512 14980095
1024 51825695
2 3072
4 4095
8 6144
16 13311
32 40959
64 145408
128 560703
256 3072063
512 11798463
1024 46940032
2 3072
4 5119
8 6144
16 14336
32 39935
64 145408
128 561056
256 2920480
512 11814047
1024 46965408
2 4095
4 4832
8 6144
16 14336
32 39935
64 145408
128 560512
256 2811295
512 11760416
1024 49934913
2 3072
4 4095
8 6240
16 14336
32 39935
64 145408
128 562175
256 2999327
512 11802176
1024 46930465
2 4095
4 4095
8 6144
16 14208
32 40959
64 144383
128 560064
256 2812416
512 11755392
1024 49721473
2 4095
4 6144
8 8191
16 20479
32 60416
64 218112
128 841696
256 4059807
512 16282112
1024 69778015
2 3359
4 8191
8 9216
16 19455
32 57344
64 204799
128 785600
256 3876352
512 15534399
1024 62564479
2 4095
4 6144
8 8191
16 18432
32 56320
64 203776
128 787231
256 3870048
512 15532128
1024 66237121
2 5119
4 5119
8 9216
16 20479
32 60416
64 218112
128 839904
256 4062911
512 16285888
1024 65562782
2 4095
4 5119
8 8191
16 18432
32 60416
64 218112
128 840384
256 4064991
512 16285503
1024 65716354
2 4224
4 5119
8 8191
16 19455
32 60416
64 218112
128 840128
256 4059872
512 16285343
1024 65693855
2 3072
4 5119
8 8191
16 18432
32 57344
64 206847
128 795776
256 3908927
512 15648927
1024 63332065
2 4095
4 5119
8 7168
16 18432
32 57344
64 206847
128 796383
256 3901887
512 15650079
1024 62380897
2 3072
4 5119
8 7168
16 17408
32 54271
64 193535
128 742879
256 3717823
512 14943264
1024 59856830
